C1,C2,C3,C4,C5
R2SZ6OX4HBL6Y3,"This watch is cool and my teen still likes it.
He does mention however that it has to be looked at very directly to see the time. Especially outside.
It may not be the case with the other varieties but the one we got, the red background, can be hard to see.",3,2023-06-11,United States
R3B9V30R7QM0FP,"The watch works really well. Keeps time very well, display is easy to read both in light and dark. However, the button layout is weird and you can flip between 12/24 hours with a single button press. Also, if you go to the timer and not need it, then the next button click will turn on the editing mode for time and date. Overall, it’s decent.",3,2023-01-04,United States
R3168H6IIF2QDP,The display that is shown in the picture is not accurate. The display is very faint and hard to see.,3,2023-12-24,United States
R2VSFREOXS7ZUM,"This watch has a great feel and fit very streamlined. But definitely not for the working man.
The glass broke after a few weeks. And there is no way to get in contact with manufacturer.",3,2023-10-03,United States
R2GL62NT10IIKF,Its an okay watch for the value. Its a little heavy but does not feel bulky to wear. The design is simple but would not say stylish. Satisfied with the watch.,3,2023-12-14,United States
R1YI6ZPX95TWWM,"It's a really nice watch for the price, but I wish it was completely waterproof. If it were I'd give it a 5 star, but I just can't.",3,2023-09-09,United States
RVO47FHN5SF5J,"Beautiful watch which was complimented often. Some thought it was a high end watch, and a retail employee thought it was a smart watch. Easy to set up. Wore it daily and in the shower with no issues. I did develop a terrible sore on my lateral wrist. It was terribly painful and looked bad. I had to stop wearing the watch when it wouldn’t heal. I believe it was a reaction to the metal. The picture is of the scar the watch left behind, much smaller than the actual sore.",3,2021-08-27,United States
R10BGT1MNSU8TS,"In the pictures, the display looks nice and bright. In real life, it is very dim. If it has light shining on it, it is much brighter. If not, you have to activate the backlight to be able to see what time it is. Other than that, it seems to be a nice watch for the money. This is a pretty big problem to me though.",3,2022-10-16,United States
R364VHQN1FWYAJ,I've had this watch for almost a year and snagged on the sleeves of three of my shirts. Don't recommend wearing it with long sleeves.,2,2024-09-08,United States
R1PKY6MIPXRB0X,"When this watch came in the mail, I was so excited to wear it. It looked great, had great reviews, and was 'waterproof' (or so I thought). The next day, I went to the YMCA to swim, and because this watch was 'waterproof', I wore it while I swam. When I got out of the pool, however, I found that the waterproof ring had broken, and there was water vapor accumulation. Disappointed, I threw the watch away and got a new one. Not impressed.

Otherwise, a great watch.",3,2021-07-25,United States
R3OOWEQV1786IZ,No Content,2,2024-01-28,United States
R32D6PPASGEUCE,"Maybe I was just unlucky but I bought this watch twice. The first time I accidentally dropped it from about 3-4’ (chest high) and the glass shattered. That was my fault but at 3 weeks old I was still surprised. The second time I was in the ocean (no waves) and the pin must have just come loose cuz it suddenly fell off my wrist. I was unable to locate it in the 4-6’ deep water. Over all I love the slick design and simplicity of use but buying a 3rd would have me worried since I originally purchased it for its affordability. Like I said, I might have just been unlucky.",2,2023-04-28,United States
R10PHUSN7VDJCW,"Did not live up to waterproof expectations at all; frosts up even from regular shower wear.
Idk if it's all units, but mine is definitely disappointing. Look elsewhere.",3,2023-07-07,United States
R1F7B7XDZKKG7I,"The watch works, the price is good, it looks fashionable but the light is dime and weak.",3,2023-12-21,United States
R2P2XK62KV0B50,"A very attractive watch, easy to use (once I figured out the buttons - no instructions included). But it is only viewable at about a 45 degree angle from directly above it, so a quick glance at my wrist didn't work. People who have a more natural substantial twist to their arm/wrist when viewing a watch should find it to be good, but not for me.",3,2022-06-21,United States
R3TOMUKB433W69,"I got the navy blue watch with the darker screen. The numbers are not bright so you cannot read the time at all unless you click the nightlight button.

It’s also very thick and not breathable. The band is more than half an inch thick and the plastic is heavy. I washed my hands a few times while wearing it and the water stayed underneath the band, had to remove to fully dry hours later. The watch is a bit bulky/clunky overall, so I found it very uncomfortable.

I appreciate that it has many features (including the nightlight) and says the day of the week on the face. Simple and straightforward, but overall not worth it. I will be using it as a clock to be added to my hiking backpack/ shoulder of my hydro pack, but not wearing it like a watch.",2,2021-09-07,United States
RHR552PMUTH4U,"Low contrast between background and digits. Am/Pm indicator is very small. Appears to be accurate and easy to change time zones. Band is quite large. I have at least another 1-2/2 inches on the band. I have not taken it into the water so cannot comment on that. I do like it’s overall appearance, and can be considered as a dress watch.",3,2022-04-22,United States
R124YKSLIZ1SD2,Have not had the watch long and condensation is building within the watch. During the day I have trouble reading the watch. Issues have now begun with functionality. Maybe not the best watch for working depending on your job. I work in the water distribution industry.,3,2022-07-19,United States
R2L4YL40AQ5EAZ,"This watch is stylish and sleek, But when I submerged it in order to wash my hands it developed a layer of condensation behind the glass and the display is nearly impossible to read. I put it in a container with silica packs in order to dry it out, after 24 hours it still has condensation on the inside. Keep away from water!",3,2022-05-15,United States
R1XVJ49LFP54AT,I bought the white watch and the band picks up colors from my clothes. I don't know how to get them off. I tried soap and water but that doesn't work. So the band looks dyed.,3,2022-11-24,United States
R1FG2ZS6LRS4DF,"It looks nice and fits and feels nice and comes in an assortment of colors, BUT the display is very hard to see. You have to be directly over it (not from an angle) to see it and then it is very dim. There is an EL backlight but you have to hold the button for 3 seconds and the light it provides doesn't help much. Other watches I have owned really light up and this one is dark and dim.",2,2023-06-28,United States
R1A23AZ16E5H6K,"I BOUGHT THIS WATCH EXPECTING IT TO COME WITH THE FUNCTION OF PROGRAMMING IT WITH DIFFERENT TIMES, WHEN I CHECKED IT I NOTICED THAT IT DID NOT COME WITH THIS FUNCTION. I HAD TO BRING HIM BACK BECAUSE IT'S IMPORTANT TO ME THAT HE COMES WITH THAT FUNCTION.",2,2024-04-04,United States
R8X2VJ9EV0U6T,"My husband had this watch for 6 weeks before condensation got inside making it hard to read. Then the screen cracked and it’s not readable at all. I definitely do not recommend wearing this swimming. It’s a nice looking watch, but I wouldn’t recommend it for swimming or physical activity. The side buttons are also very sensitive so he kept hitting the buttons which would turn on the awful beeping every hour.",2,2023-07-12,United States
R3Q9QFRML5C15D,Simply did not fit my wrist. Too small.,1,2025-03-01,United States
R2S97KBOVMYZB4,"I bought this for my fiancé for work.. Out of the box, we loved the look and feel of this! But it ended up cracking the first week wearing it. Im disappointed as the reviews seemed great. I do not recommend purchasing for someone that does physical labor jobs.",3,2022-06-16,United States
R145KTO5JK11BV,Got fogged up when I went for a short plunge in a creek-took over a month for the condensation to clear out of the face. The pin holding the band to the face popped off several times. That being said-it’s functional and does the job.,3,2022-06-04,United States
R39PGRRR2BHNDD,"The band is thick, watch seems sturdy, but I can't get over how difficult it is to see the numbers on this watch's dark background. Not worth it for me.",3,2023-01-12,United States
RKI3L55VU4DCW,"I had this watch for less than 2 weeks and it no longer tells time, the face of the watch is cloudy with moisture, and I can no longer swim with it. Sent it back. Very disappointed.",2,2024-05-02,United States
R3M4G7WL0DQ3M4,I love this watch. Except that it’s no longer waterproof. No more illumination due to moisture. Sad. Can hardly read the time or see time in the dark. Is there a replacement warranty?,3,2022-08-17,United States
R1J5CXXFXGBPJC,Does not keep out moisture for more than a few weeks. Had the same problem with the first one I brought. Thought I'd try another one because of the price but still had moisture inside,3,2022-08-21,United States
R1JDFRJB7D73GJ,"This is a comfortable, nicely designed, budget watch that looks more expensive. The display can be a little dark to read without the backlight and the mesh strap, although stylish and resilient, can be fiddly to fasten.
Overall though, this watch works and looks better than many other watches 3 times the price.",3,2021-12-06,United States
R3I9EZLRA5BB8A,"The build of the watch is great - but it is really hard to read the time thanks to the numbers being a soft grey. With a black background, it doesn't work. We are returning the watch. What you get and what the picture shows is not the same. The image on this page makes the time pop off the black background. That is not correct.",3,2021-01-28,United States
R27TEEAJGRKVYL,"Like the title says, the watch itself is working after a year of purchase, but the band started tearing after just a few months of use (and I don't swim or have it in water for any length of time). I fixed it a few times with super glue, but then another tear would show up soon after. And the band can't be replaced. So just keep that in mind when purchasing.",2,2023-01-16,United States
R1YHOFL7R52OEW,"Conked out in 3 months. Worked fine until then. Didn’t bother spending more money than cost of watch tosee what was wrong. Sticking to more reliable Casio brand for inexpensive watches in the future. Nice green color band, but not worth it.",2,2024-03-18,United States
R37I5TKZPZKBQQ,"For the price it’s a nice watch, nice sleek modern design, very simple to operate. Only critique would to have the face of the watch invert the colors to have black digits on a clear face to improve ability to see the time when in dim light. Obviously it has a light to illuminate the face but even that isn’t too bright.",3,2021-02-22,United States
RVU6BV88V45P6,"My watch band came off, stuck it back on, and 2 screws came out of the backplate, without me realizing moisture had get in it , good amount just from sweating.

Although my favorite part of watch is the faceplate, it tells you the day of the week with letters and numbers, digitally, the appearence is liked. I also like how the watch is reflective to see, when adjusted to sun, to check the time without covering with your hand.

Backplate coming off twice is my only issue complaint, sent it back once. Days to return expired for 2nd return. Screws came out back plate, needs bigger or longer screws or maybe just snap in, instead of screws.",2,2022-01-17,United States
R2E671S8XVRV55,"Looks great but is difficult to read. Also, setting mode seems to change on its own somehow.",3,2023-04-23,United States
R9ET1DDA0E3C,"Aside from dim display & backlighting, this watch has no year or month settings, so you have to reset the date after every month in which there are less than 31 days.",2,2024-05-01,United States
RGE1LC80KNOZ5,"watch looks good, however in less than 10 days, water has entered the watch face. It is not waterproof, nor water-resistant. The watch is working but is hard to read due to cloudy (especially as the watch warms up) condensation under the glass.",1,2024-09-16,United States
R113T2NVMCQJBV,"When I first purchased the watch the back light was not working so I had to order a new one. The second one came relatively quickly. The watch is a bit bulky and the straps are kind of short . The watch looks cheap. After dropping the watch on the floor the wrist straps came apart and it was annoying to put them back on. The glass casing cracked a tad bit, but that held up. If you’re looking for a cheap watch to just tell time then this is great for you. If you want something more upscale then I suggest spending a bit more and getting something different.",2,2021-09-10,United States
R68CMB2WWRN84,Really difficult to read. The back light is really dim. Think twice before buying.,3,2022-12-17,United States
R1PKSIM8V27X4F,"This is a review for YUINK Mens Watch Ultra-Thin Digital Sports Watch Waterproof Stainless Steel Fashion Wrist Watch for Men Women
It is a very pretty watch, and I like the metal band, but the number are too thin and too faint for me to see. I had to return it.",2,2023-10-09,United States
R3LK8OH94O6WS8,Don't throw away your users manual - you will need it! Nothing is intuitive about how to set up this watch. Plus you will have to manually change the dates every few months. Best thing about it is the button that lights up the screen for you (nice when camping or when it's dark).,3,2021-09-05,United States
R3MBOEVSNIQOH1,"This watch looks reasonably good, is easy to read and functions as you'd expect. I purchased it because I wanted an inexpensive watch for work to tell time at a glance without fishing my phone out of my pocket every time, and one that I would not be upset about scratching or bumping. For that purpose it works well, and the slim design is a bonus.

However, the pin that holds the wrist band inside the watch body has a nasty habit of popping out if you bend your wrist a certain way, or accidentally bump against something. It's very cheaply put together, and I would not recommend this watch for anyone who plans on wearing it while being physically active, or plan on getting a nicer wrist band if you do.",2,2021-03-14,United States
R2FQCY046ZMKOM,This watch was pretty much exactly what I was looking for HOWEVER it came broken. One side of the strap was disconnected. The pin that holds it on was loose in the box. Ultimately was able to reattach it but now am nervous it won’t hold up to much wear.,3,2021-10-01,United States
R15AC4X06LZ6LQ,Latch fell of on first time use.,3,2023-08-18,United States
R1T0E1K38255IK,"Display was very dim, and I bought this for my 91 old father. I also found the instructions confusing to set the time. The style and look was very nice, loved the thin strap. Wish it was easier to read!",3,2022-01-12,United States
RE6PCF4VJA3LM,The instructions suck. No point of contact BS. Can't even make out the PM on the face. No idea how to see the month according to instructions saying to push C and then D to reset???? Every normal watch has a key to push for month and day???,2,2023-08-23,United States
R1METN71XRLD59,"The watch - size, look, fit were perfect BUT the dial is too dark to read what it says. Maybe for a yound person, but for a mature, older adult - it was way too dark to read info. Had to return it.",3,2021-04-29,United States
R1EOV9SYKAT87F,I could not turn off the beeping. No matter what I did.,3,2023-03-23,United States
R2ZYP724NXL87Y,"I needed a simple watch with an alarm and nothing else for work, and this fit the bill. Looks good, easy to use, with a loud alarm, and inexpensive. The display is a little dark, but it brightens up some with a button push.",3,2021-04-20,United States
R2NMMGYYZM50LK,Strap was a little loose and fell on laminate floor. So it wasn’t something hard like concrete. In fact it was a dance floor that is padded with springs beneath. Fell off during class and just went 0:00 for good. Opened it up and tried to remove the battery and replace it to fix. It worked for a few seconds and it was over. Not to mention it was SO HARD to read the time on it as the backing is not white enough and the actual numbers are so dim.. don’t waste your money on this.,2,2022-03-01,United States
R1MX7G8QA823IR,Very nice watch with a decent band. Too bad it has a dim display and almost unreadable in normal light. If they had gone with a white background instead of black it would have been better.,3,2021-06-30,United States
R19KRIBOZHEEHN,"Watch looks great, but dim display is hard to read. I would tolerate that for the good look of the watch, but the watch band pins pop out if the watch gets caught on clothing. Buttons also feel cheap and are probably not durable.",3,2021-02-21,United States
R1FBS7S1A5QJF0,Not really for regular water immersion use apparently. This was not clear on the website. Also: The display is difficult to read.,3,2022-09-26,United States
R1P8O6YS7JI36U,"UPDATE: We gave them another chance with a replacement watch and the second had the exact same issue. The button that’s supposed to activate the backlight does absolutely nothing. High quality for sure.

Just don’t waste your time or money on a company with a name like Yuink, because that is clearly just another name for Junk.

Like others have mentioned, it is too dim to read outside of a dark room. It is supposed to have a button for a backlight per the description and instructions, but the button doesn’t actually do anything.

We’ve ordered a replacement in hopes that the next one will be better, especially since the watch looks surprisingly nice, pretty much just like the pictures.

I’ll update if there is any success with the new watch.",1,2021-04-29,United States
R3QJUZXLDQ7076,The display when not lit up is fairly low contrast and is hard to see.,3,2022-08-20,United States
R2MHH28JVG1PXG,"I realize I'm buying a kind of inexpensive watch, but the last one I bought in this price range lasted at least a year or two before I messed up and accidentally ran it the washer and dryer.
This one? I must have bumped it against something, but I didn't even notice it. Now, the LCD screen is completely haywire and unusable.
Even before this thing broke, I noticed that the four buttons were all pretty garbage. They're finicky, need more force to press than you think, and the time-and-date adjustment cannot go backwards, so if you overshoot you have to go all the way back around. And the seconds count while you're adjusting, so you have less than a minute to adjust the minute before the watch pushes it forward by one.",1,2021-04-20,United States
Is a 1/4 inch of rubber too much to ask for?,"Very slim watch but the face is HUGE! Easy to read but if you wear polarized sunglasses all day like I do, you cannot see anything on the watch. Gave it to my daughter and she loves it! Says its 'Pimpin'!",3,2021-08-15,United States
"These were $40. Did they really save money by skimping on 40 cents of rubber?""","I genuinely don't understand why so many shoe manufacturers keep using foam soles.

They will shred the second they hit pavement.

I don't care if they're meant to be inside"" shoes. I have gym shoes that have rubber.",1,2025-04-01,United States
R1VRR84P3OX8S3,"I don't even know where to begin on these things. But I'll start with the biggest issue. The fit is absolutely terrible. I wear a size 10.5 in every other pair of boots, shoes, slippers etc that I own. All the reviews said these shoes fit perfectly. Well that's absolutely incorrect. They fit like they are a size 10, my big toe hits the very end of the toe box, no wiggle room whatsoever. They are also extremely tight on the top of the foot and cut off circulation causing tingling and numbness in my toes within 10 minutes of just wearing them sitting down. The heel cup also doesn't even remotely cup properly, your heel will just slip up and down no matter how tight you sinch the laces. They also aren't as breathable as I thought they would be seeing as they are made of entirely of mesh. These shoes are an absolute joke. Do not trust the 4 and 5 star reviews because that's what I did and now I'm out of $40. You're better off going to Walmart and getting a cheap pair of shoes there. If I could give zero stars I would!",1,2024-06-06,United States
R2OZQR6UC68ZNJ,"Pros:
Stylish Design: The shoes have a sleek and modern design that looks appealing.
Cons:
Poor Traction: The traction on these shoes is severely lacking. I found myself slipping on various surfaces, which was not only frustrating but also potentially dangerous.
Lack of Comfort: These shoes are incredibly uncomfortable to wear for extended periods. The lack of support and cushioning resulted in sore feet and discomfort.
No Arch Support: I also noticed a distinct lack of arch support, which exacerbated the discomfort and made walking in these shoes a painful experience.
Overall Impressions:
I was extremely disappointed with the Bruno Marc Men's Mesh Sneakers Oxfords Lace-Up Lightweight Casual Walking Shoes. Despite their stylish appearance, they fail to deliver on crucial aspects such as traction and comfort. The lack of support and cushioning makes them unsuitable for extended wear, and the poor traction poses a safety risk.
Final Verdict:
I cannot recommend the Bruno Marc Men's Mesh Sneakers Oxfords Lace-Up Lightweight Casual Walking Shoes. Their lack of traction, discomfort, and lack of support make them a poor choice for anyone looking for reliable and comfortable footwear.",1,2024-02-15,United States
R32TWJ37U1PDL4,My shoe came to me already used. Dirty on the soles of both shoes. Bad experience,1,2025-04-10,United States
RDI26EAFX5HXE,Cheap and fit weird.,1,2025-03-28,United States
RG84TY8PBRN69,Very bad fabric,1,2025-03-02,United States
RG8DN1W89SBJA,"I like these shoes and have 3 pairs in varying colors. Unfortunately, the Lt. Brown color of this pair was too close to that of one of the pairs I already have. I don't know why Bruno Marc doesn't have a tan or beige or khaki in this line.",1,2024-11-03,United States
RNKKT87A2O9OM,"Feels great at first. But a few blocks after walking the dog, the back of the shoes rubbed against my heel so much, they hurt. If they fixed that, these would be awesome shoes. But I can't walk far in them due to this.",1,2024-09-14,United States
R2X5CBUNX1Y27C,"if you're walking in those for any decent amount of time, beware of blisters. i recommend wearing thicker socks if you can to help, but i still got a painful blister on the back of my heal. will be returning",1,2024-09-22,United States
R1SJQUPUB8U3J1,"These shoes pick us dirt that gets absorbed into the fibers and will not wash out. however, they are extremely comfortable",1,2024-11-17,United States
RN97VCP2D5HKF,Need laces replaced as they ripped!!!,1,2024-12-31,United States
R29KRVFMTOBGAN,"I can feel a small nail like think poking my foot as I walk I tried inspecting and looking for the nail but cannot see it, I thought they would be perfect (and they are) but it's so uncomfortable... not impressed so regretful",1,2024-06-23,United States
RS8C5N5M006DK,"I really liked the look of these shoes, but there's absolutely no heel support in the back of the shoe. What that means is if you're walking any amount of time, you'll struggle to keep your feet in the shoe, and at least for me, that means my feet end up hurting. This is not practical as a daily walking shoe.

I found a much higher quality shoe with a similar look from Johnston & Murphy, that has real support in the back of the shoe. And right now the price is almost the same as this shoe from Bruno Marc.",1,2023-04-30,United States
R1U25HVF4IVPGM,"These shoes look nice and stylish and are quite affordable. Unfortunately, they are not well-engineered. The sole material is too spongy. Coming from On Cloud X trainers, these shoes gave me terrible cramps in the arch of my foot after a few hours of walking around. I am giving them away and going back to On shoes.",1,2024-04-27,United States
R3QR51VOOVZNIJ,Wore this shoes today on an airplane trip and I couldn’t wait to get to my destination to take them off. This shoes are so comfortable and painful. I want to return them for a refund..,1,2024-08-12,United States
RD0HS0Z3CJANI,"It was too late to return them but even though we purchased on November, my husband just started wearing them and they really hurt the top of his foot.

Update: seller was kind enough to refund our money for this product.",1,2024-05-26,United States
R21U1YD5XFA3Z1,Cheap quality. Sewed oddly and parts fold out. Stains easily and is not cleaned easily.,1,2024-09-26,United States
R2OBVV9FKFNEKX,"I liked the color and look of these shoes, and they were very comfortable. I tried them on in a room with a rug and as I walked a few steps onto hardwood floors nearly fell. The treads of these shoes are incredibly slick. How does this product get past prototype? No exaggeration, I have slippers with greater traction. I couldn't trust walking outside in these, so had to regretfully return them, as I did like the style.",1,2023-05-18,United States
R1AR5ISFHRV6RT,"These were nice for a few weeks, then they flattened out causing arch and back pain.

The stitching around the sole of the shoe is also coming undone. Don’t expect these shoes to last two months if you buy them",1,2024-05-15,United States
R2I5SN1E8ECO8,These are way narrow if you have anything other that a narrow foot do not but these. Quality is sub par and look cheap,1,2024-08-12,United States
R1CZ73WJZ4AN5X,Maybe mine was defective but the shoe sole broke after 1 week,1,2024-08-28,United States
R3S9W8Q23TWFQS,I thought these would be a good substitute for a more expensive brand but they look and feel very cheap. These shoes were Uncomfortable and they look like they were made from plastic.,1,2024-06-23,United States
R3PQEFK7FQYYZR,Very nice and comfortable shoes 😊👍 and also 4 the price u can’t beat it 👍,1,2024-07-29,United States
R2IN41U2W1KEJ7,Is to Narrow,1,2024-09-15,United States
R22CIU0O5ZYOIH,"I received a dirt worn pair of shoes & the wrong color, very disappointed.",1,2024-07-15,United States
R2XD0AB6C0O6QT,"Shoe appears to be comfortable. However, it was difficult to determine honestly since I received two different sized shoes! Good luck buying this.

Update: Seller reached out to me and offered to correct the problem. After wearing the the shoes a few weeks, I find them very light and comfortable. Only one issue to bring up. Soles are extremely slippery on tile floors or waxed wood floors. Little to no traction. So, if you decide to buy these shoes then walk with caution.",1,2022-10-01,United States
R31FOINMD43Y5C,I didn't even try these shoes on they may be super comfortable and we're awesome I don't know when I received them I didn't like how they looked around the ankle part they looked very flimsy to me so I returned the item immediately,1,2024-02-01,United States
R2RTBV0GJAKZ5O,"These shoes are mediore in quality for the price, but the sole of the shoe is really slippery on anything but carpet and my heel kept slipping up even removing the shoe insert. Not worth the money.",1,2024-01-07,United States
R27AFL2YYURBRF,"Package came as if it came from the last person who returned it after a night in the town… dirty souls, completely wrinkled up and just totally unacceptable… you get what you pay for I guess…",1,2024-02-04,United States
R21PF7JNW9KQJT,"Didn’t like the way they looked, they looked cheap",1,2024-08-29,United States
R385N9WEM1DW56,"The shoes are size 11 and are so narrow I unable to get my foot into the shoe.
Made for people with extremely narrow Feet. My foot is not overly wide but these are way to small.
I would not buy them again.",1,2023-12-08,United States
R1MCPP0XA01ZNF,"These looked great on the webpage, but upon delivery found them unusable. There is little to no structure or support to the heel of the shoe, the knit fabric is loose and my heel slips with every step, and I have never had this problem with any other shoe. Couldn't wear them for five minutes -- will return.",1,2023-08-01,United States
R3RUF0P1BG0RNU,Get what you pay for. They have a super cheap feel. Made in china. Had slight damage. Tread is non existent. Just needed a quick new shoe cause mine were damaged and needed asap.,1,2024-04-21,United States
R3RWI2JVDDK38I,Looked great but just did not fit!!,1,2024-07-26,United States
R16L6UZK0C2O5R,Uneven soul that makes the whole shoes uncomfortable,1,2024-07-07,United States
R168NVAHYK87R6,Fabric was separating from sole,1,2024-07-14,United States
R21ZLIJ0CWPUSI,"Got theses shoes about 2-3 months ago. Souls are already peeling up. I want to return them but am past the return window"". I hope they will contact me and help...""",1,2024-05-01,United States
R2IRGRZA6E6W87,"I don’t ever review products, I really like this brand but these particular shoes are dangerous. They don’t fit great, but worse, the soles have ZERO tread. I slip on carpet and floors even, worse than that, the inside of the shoe has very little grip as well and my feet slide around inside the shoe as well. Feels like I’m walking on ice with these both inside and out.",1,2022-12-01,United States
R8H7KR0D60OS1,Cheap cheap cheap looking and shoddy material. Shoes is collecting dust in husbands closet.,1,2024-05-22,United States
R2AHA9XF1FVOSP,"These shoes are terrible. I have been wearing size thirteen shoes since I was a kid, putting on a 13 in these is like stepping into a clown shoe. It’s almost an inch and a half longer than any of my other shoes and the soles are very mushy with little support throughout. Was going to buy three pairs, glad I only wasted money on the one, will not buy again, do not recommend",1,2022-03-04,United States
R1XN4YQ0WRS7E8,"Purchased this item took them out of the box, and as you can see on the bottom of the shoes they’ve clearly been worn.",1,2024-01-24,United States
R3LISKFWTM3QJR,Shoes offer no stability. Uncomfortable,1,2024-06-06,United States
R2MITQQN5F6C35,Horrible quality,1,2024-06-17,United States
RN3Q8XIRF65L0,Comfortable yes lightweight yes looks like they’ll wear out in two days yes no support yes the bottom sole does not stay flat when you’re walking Put them on and walked 2 feet and knew these were the worst shoes I’ve ever bought sent them back and read the fine print about returns BS.,1,2022-10-30,United States
R1L8DL4YF3ZJCP,I expected lower end construction and this exceeded my expectations. The right shoe makes a popping noise every single time you take a step. Which you rarely have to do because the non-rubberized sole is so slippery that it turns every surface into an ice skating rink.,1,2022-08-07,United States
R2PP3K9LISH5TB,There is no grip on the bottom of the shoe- it’s like wearing socks.,1,2024-01-22,United States
R143RITEC9VA5D,I ordered a 10 1/2. The shoes fit like a size 11 what a waste the are to lose.,1,2024-02-10,United States
RZ6968RJ9ETYS,"Light weight and very comfortable but looks very cheap as if some one glued it in their back yard, I had high expectations for this shoes and would have bought multiple colors but glad I bought only one to try first. will not buy any more or recommend it.",1,2022-04-25,United States
R1E80WR3FV0E73,Not sure if this will last. Looks like it split apart right in between the stitching. May have been a waste of money.,1,2023-06-10,United States
R3KNKULEE0BRB0,"Shoes felt like plastic and made a lot of noise while walking. Super stiff and shiny, great for a one time event but not an everyday work shoe.",1,2023-05-30,United States
R3C61V9LQHL6O1,Not a particular comfortable shoe for daily use.,1,2024-03-21,United States
R1UX2P9IXNPSVZ,"zero ankle support, afraid of rolling ankle.",1,2024-02-16,United States
R3LEZKJDTYDOK7,"The insole is very springy especially in the heal to the point that your foot bounces up and down when you walk. I have a bit of positional vertigo and found these unwearable, almost like walking on a trampoline.",1,2023-01-31,United States
R1VJGBAL3UUAH6,The sole is not quality and quickly wears down like an eraser as it is foam with no rubber,1,2023-09-03,United States
RJ7240LAL8QBB,Shoe were returned,1,2023-12-17,United States
R2Q7Q860N3KDHZ,Shoes are comfortable but slide up and down on your heel when walking….aggravating,1,2023-09-05,United States
R3RRWK8CKY0VLH,When I got the product the shoes were black and orange. I was expecting a black and brown shoe. The material and fabric wasn’t great either. The soles were cheap and rubbery.,1,2023-03-27,United States
R6IA85YWCDYY3,"These shoes are of minimum quality. I wouldn't expect them to last too long. Little to no support. If you have very strong feet and arches, you could wear them. If you need any support at all, it's not there. They are overpriced in my opinion. They run a little large.",1,2020-06-18,United States
R3UQBRX9IQO2F8,"The soles of the shoes literally slide on bare vinyl floor. Damn near fell transitioning from carpet to vinyl floor. Never had a soft sole shoe do that.
Not at all good",1,2022-11-06,United States
R3NR2T4CQ6A8TZ,No support,1,2023-12-18,United States
R3GCOJDDO6IC2I,Very uncomfortable to wear all day,1,2023-11-26,United States
R20MRHY2F1RCH0,"The smell they come with is unbearable. I’d rather throw them away than to give it to someone. It’s probably the manufacture glue or something. A homeless person would choose to walk bear foot. than to wear these. Price reasonable, very comfortable but WHAT A STENCH! DO NOT BUY🤮",1,2020-03-03,United States
R3TNZ2NQP9EAZM,No Content,1,2024-04-05,United States
R2TJL74C9FGFOD,Shoes are horribly uncomfortable. They are very breathable bit feel like you're walking on a wooden plank.,1,2022-03-15,United States
R3MW9BIDDQ5BM0,Not wide enough,1,2023-09-13,United States
RXSR81J6P49GM,This product was not as expected and need to return,1,2022-09-17,United States
R34ZCOM258YQK7,They look cheap. And the shoes don’t let you tied them tight due to the elastic,1,2021-07-26,United States
R2ZULLD7RZ72TL,"Worst quality, wear out in one day",1,2022-09-29,United States
RJ1D71SLFY78D,Too narrow,1,2023-06-09,United States
R3UQCF4CY50W38,Slips off your heel way too easily.,1,2022-11-18,United States
RD9CY711CZLT0,"Where the sole meets the show, one is great. The other is defective.",1,2022-08-05,United States
R2FZ7MYVD6QSGG,I wear a 12 1/2 and these were longer. Almost fell twice.,1,2022-08-08,United States
R1NOPORMY8MNVN,I wish they came in wide.,1,2023-01-13,United States
R17VCKC94T3CAL,Plastic tip in laces off. Could re-lace. Very frustrating,1,2023-04-21,United States
R2Q2C230HBBV6R,So comfortable,1,2022-10-09,United States
R2OGPOU4P1ULJD,the heal of the shoes has very poor structure and support.,1,2022-07-16,United States
R2RGKS2UM10KIC,very comfortable but very dangerous there is no traction they slide even on carpeting,1,2022-11-17,United States
R25Y5H083J0E9E,Shoes are falling apart after a month of wear.,1,2022-06-07,United States
R1Z7A8TF0NJD39,Really comfy. Smell awful. I let them sit outside three days hoping they would air out. They still stink up my closet.,1,2020-11-15,United States
RBZBDOV6NVN5N,Delivered with shoe breaking apart,1,2021-11-22,United States
R2WU7M05HOR10K,Not true to size,1,2022-05-08,United States
R3NJ3FE2LWRUT5,The shoe 👞is a very piece of junk.,1,2021-05-21,United States
R1M1G7DEZGMTMK,Las puntas del zapato no son paralelas. Fuera de eso muy lindo y cómodo,1,2020-03-29,United States
R77EAMHHH808T,"Already worn out after 2 months casual wear. They look nice and air cool to wear, but the low quality is so disappointing. Not even lasting a few months.
Disappointing. Not recommended",1,2025-01-09,United States
R35RCQ9LE1PBM2,"Feet slide in the back heel. While they look nice, don't buy. I bought my exact size and they fit perfectly but don't keep your heel in.",1,2024-10-17,United States
R2C8QDA1HHRS6Q,"I have worn 10 1/2 for thirty years and ordered them in the same size. They couldn't even fit on my foot, much less comfortably",1,2024-05-23,United States
R290K72TOM12Q2,"Working on my feet most of the day, it is hard to find professional-looking shoes that are, not only comfortable, but long-lasting. Slippery on most surfaces, not great for walking.",1,2022-11-16,United States
R1ZVDX2018R8CN,"They were great while I was working in the carpeted part of the office, but as soon as I go anywhere with a hard polished floor they squeak loud enough for people to ask me to not wear them at work anymore.",1,2024-09-16,United States
